client_line,current_station,present in photo,track_1,track_2,Altitude,Coordinates
Bilbao-Donostia,Casco Viejo,1.0,1.0,40.0,17,"43.26018,-2.92217"
Bilbao-Donostia,Zurbaranbarri,1.0,2.0,39.0,69,"43.26423,-2.91273"
Bilbao-Donostia,Txurdinaga,1.0,3.0,38.0,67,"43.25798,-2.90677"
Bilbao-Donostia,Otxarkoaga,1.0,4.0,37.0,90,"43.25949,-2.90010"
Bilbao-Donostia,Kukullaga,1.0,5.0,36.0,30,"43.25112,-2.88965"
Bilbao-Donostia,Etxebarri,1.0,6.0,35.0,40,"43.24564,-2.89128"
Bilbao-Donostia,Ariz,1.0,7.0,34.0,40,"43.24036,-2.87916"
Bilbao-Donostia,Zuhatzu,1.0,8.0,33.0,46,"43.22889,-2.85363"
Bilbao-Donostia,Usansolo,1.0,9.0,32.0,57,"43.21805,-2.82021"
Bilbao-Donostia,Bedia,1.0,10.0,31.0,57,"43.20619,-2.79769"
Bilbao-Donostia,Lemoa,1.0,11.0,30.0,67,"43.20706,-2.77519"
Bilbao-Donostia,Amorebieta,1.0,12.0,29.0,71,"43.21657,-2.73613"
Bilbao-Donostia,Euba,1.0,13.0,28.0,90,"43.19391,-2.69583"
Bilbao-Donostia,Durango,1.0,14.0,27.0,117,"43.16934,-2.63347"
Bilbao-Donostia,Traña,1.0,15.0,26.0,121,"43.16544,-2.61231"
Bilbao-Donostia,Berriz,1.0,16.0,25.0,168,"43.16846,-2.57443"
Bilbao-Donostia,Zaldibar Apeadero,1.0,17.0,24.0,164,"43.17163,-2.54801"
Bilbao-Donostia,Ermua,1.0,18.0,23.0,156,"43.18465,-2.50122"
Bilbao-Donostia,Errotabarri,1.0,19.0,22.0,173,"43.18352,-2.49944"
Bilbao-Donostia,San Lorentzo,1.0,20.0,21.0,158,"43.17947,-2.49554"
Bilbao-Donostia,Unibertsitatea,1.0,21.0,20.0,146,"43.18084,-2.48742"
Bilbao-Donostia,Amaña,1.0,22.0,19.0,137,"43.18443,-2.48056"
Bilbao-Donostia,Ardantza,1.0,23.0,18.0,142,"43.18464,-2.47458"
Bilbao-Donostia,Eibar,1.0,24.0,17.0,124,"43.18697,-2.46570"
Bilbao-Donostia,Azitain,1.0,25.0,16.0,125,"43.19043,-2.45675"
Bilbao-Donostia,Elgoibar,1.0,26.0,15.0,56,"43.21328,-2.41644"
Bilbao-Donostia,Toletxegain,1.0,27.0,14.0,50,"43.21801,-2.40859"
Bilbao-Donostia,Altzola,1.0,28.0,13.0,26,"43.23590,-2.39988"
Bilbao-Donostia,Mendaro,1.0,29.0,12.0,16,"43.25220,-2.38790"
Bilbao-Donostia,Deba,1.0,30.0,11.0,4,"43.29364,-2.35555"
Bilbao-Donostia,Arroa,1.0,31.0,10.0,40,"43.27844,-2.27063"
Bilbao-Donostia,Zumaia,1.0,32.0,9.0,10,"43.29172,-2.25142"
Bilbao-Donostia,Zarautz,1.0,33.0,8.0,7,"43.28405,-2.16876"
Bilbao-Donostia,San Pelaio,1.0,34.0,7.0,3,"43.28325,-2.16036"
Bilbao-Donostia,Aia-Orio,1.0,35.0,6.0,11,"43.27430,-2.12594"
Bilbao-Donostia,Usurbil,1.0,36.0,5.0,43,"43.26872,-2.05294"
Bilbao-Donostia,Errekalde,1.0,37.0,4.0,11,"43.26872,-2.05294"
Bilbao-Donostia,Añorga,1.0,38.0,3.0,33,"43.28512,-2.00057"
Bilbao-Donostia,Lugaritz,1.0,39.0,2.0,10,"43.30250,-2.00054"
Bilbao-Donostia,Donostia-Amara,1.0,40.0,1.0,1,"43.31316,-1.98164"
Bilbao-Donostia,Amorebieta Geralekua,1.0,,,75,"43.22175,-2.73493"
Donostia-Hendaia,Donostia-Amara,1.0,1.0,16.0,12,"43.31308,-1.98174"
Donostia-Hendaia,Anoeta,1.0,2.0,15.0,15,"43.30213,-1.97527"
Donostia-Hendaia,Loiola,1.0,3.0,14.0,15,"43.30213,-1.97527"
Donostia-Hendaia,Intxaurrondo,1.0,4.0,13.0,67,"43.31423,-1.95486"
Donostia-Hendaia,Herrera,1.0,5.0,12.0,10,"43.31949,-1.93817"
Donostia-Hendaia,Pasaia,1.0,6.0,11.0,10,"43.31828,-1.91789"
Donostia-Hendaia,Galtzaraborda,1.0,7.0,10.0,16,"43.31242,-1.90691"
Donostia-Hendaia,Errenteria,1.0,8.0,9.0,17,"43.31124,-1.89924"
Donostia-Hendaia,Fanderia,1.0,9.0,8.0,10,"43.30831,-1.88940"
Donostia-Hendaia,Oiartzun,1.0,10.0,7.0,19,"43.30860,-1.87972"
Donostia-Hendaia,Gaintxurizketa,1.0,11.0,6.0,10,"43.32696,-1.85763"
Donostia-Hendaia,Bentak,1.0,12.0,5.0,26,"43.33039,-1.81679"
Donostia-Hendaia,Belaskoenea,1.0,13.0,4.0,22,"43.33637,-1.80361"
Donostia-Hendaia,Irun,1.0,14.0,3.0,20,"43.34137,-1.79601"
Donostia-Hendaia,Irun-Ficoba,1.0,15.0,2.0,6,"43.34945,-1.78617"
Donostia-Hendaia,Hendaia,1.0,16.0,1.0,10,"43.35315,-1.78195"
L3 Txori,Lezama,1.0,12.0,1.0,67,"43.27331,-2.83568"
L3 Txori,La Cruz,1.0,11.0,2.0,49,"43.27648,-2.84635"
L3 Txori,Zamudio,1.0,10.0,3.0,53,"43.28435,-2.86480"
L3 Txori,Lekunbiz,1.0,9.0,4.0,31,"43.28667,-2.87451"
L3 Txori,Derio,1.0,8.0,5.0,22,"43.29023,-2.88752"
L3 Txori,Elotxelerri,1.0,7.0,6.0,22,"43.29023,-2.88752"
L3 Txori,Larrondo,1.0,6.0,7.0,23,"43.29438,-2.91566"
L3 Txori,Sondika,1.0,5.0,8.0,23,"43.29818,-2.92768"
L3 Txori,Ola,1.0,4.0,9.0,20,"43.29188,-2.92516"
L3 Txori,Matiko,1.0,3.0,10.0,31,"43.26894,-2.92520"
L3 Txori,Uribarri,1.0,2.0,11.0,64,"43.26680,-2.91970"
L3 Txori,Casco Viejo,1.0,1.0,12.0,16,"43.26018,-2.92217"
Lutxana-Sondika,Lutxana,,1.0,2.0,1,"43.30037,-2.94132"
Lutxana-Sondika,Zangroiz,,2.0,1.0,23,"43.29818,-2.92768"
Ramal Altza,Altza,,2.0,2.0,72,"43.31669,-1.92968"
Ramal Altza,Herrera,,1.0,1.0,7,"43.31982,-1.93802"
Ramal Amorebieta-Bermeo,Lemoa,1.0,1.0,13.0,67,"43.20704,-2.77586"
Ramal Amorebieta-Bermeo,Amorebieta Geralekua,1.0,2.0,12.0,75,"43.22175,-2.73493"
Ramal Amorebieta-Bermeo,Zugastieta,1.0,3.0,11.0,114,"43.25212,-2.69283"
Ramal Amorebieta-Bermeo,Muxika,1.0,4.0,10.0,15,"43.287188,-2.689312"
Ramal Amorebieta-Bermeo,Lurgorri,1.0,5.0,9.0,14,"43.30603,-2.68081"
Ramal Amorebieta-Bermeo,Gernika,1.0,6.0,8.0,5,"43.31444,-2.67565"
Ramal Amorebieta-Bermeo,Institutoa,1.0,7.0,7.0,2,"43.31974,-2.67665"
Ramal Amorebieta-Bermeo,Forua,1.0,8.0,6.0,5,"43.33203,-2.67367"
Ramal Amorebieta-Bermeo,Busturia-San Kristobal,1.0,9.0,5.0,4,"43.36773,-2.69072"
Ramal Amorebieta-Bermeo,Busturia-Axpe,1.0,10.0,4.0,3,"43.38010,-2.69301"
Ramal Amorebieta-Bermeo,Busturia-Itsasbegi,1.0,11.0,3.0,8,"43.39110,-2.69389"
Ramal Amorebieta-Bermeo,Mundaka,1.0,12.0,2.0,25,"43.40886,-2.70108"
Ramal Amorebieta-Bermeo,Bermeo,1.0,13.0,1.0,9,"43.41780,-2.72320"
Ramal Lasarte,Errekalde,,1.0,2.0,49,"43.27879,-2.00676"
Ramal Lasarte,Lasarte,,2.0,1.0,25,"43.27072,-2.02016"
